Year,Month,date,any_images,any_cloudfree,image_ID,image_ID_20,have,get,priority,Greensboro,notes,clouds
,,9/24/2017,,TRUE,20170924_150840_102c,20170924_150840_102c,,,,,very small part of left of AOI,
,,9/24/2017,,TRUE,20170924_150709_1029,20170924_150709_1029,,get,low,TRUE,very top of AOI,
,,9/24/2017,,TRUE,20170924_150714_1029,20170924_150714_1029,,,,,,
2017,September,9/25/2017,,TRUE,20170925_155752_0f21,20170925_155752_0f21,TRUE,,,TRUE,,
,,9/25/2017,,TRUE,20170925_155753_0f21,20170925_155753_0f21,TRUE,,,TRUE,,
,,9/25/2017,,TRUE,20170925_155754_0f21,20170925_155754_0f21,TRUE,,,TRUE,,
,,9/25/2017,,TRUE,20170925_155755_0f21,20170925_155755_0f21,TRUE,,,TRUE,,
,,9/25/2017,,TRUE,20170925_155904_0f1a,20170925_155904_0f1a,,,,,,
,,9/25/2017,,TRUE,20170925_155903_0f1a,20170925_155903_0f1a,,,,,,
,,9/25/2017,,TRUE,20170925_155902_0f1a,20170925_155902_0f1a,,,,,,
,,9/25/2017,,TRUE,20170925_155901_0f1a,20170925_155901_0f1a,,,,,very small part of bottom of AOI,
,,9/25/2017,,TRUE,20170925_150651_1036,20170925_150651_1036,,,,,,wispy cloud
,,9/25/2017,,TRUE,20170925_150650_1036,20170925_150650_1036,,,,TRUE,,wispy cloud
,,9/25/2017,,TRUE,20170925_150649_1036,20170925_150649_1036,,,,TRUE,,wispy cloud
,,9/25/2017,,TRUE,20170925_150648_1036,20170925_150648_1036,,,,TRUE,,wispy cloud
,,9/25/2017,,TRUE,20170925_150647_1036,20170925_150647_1036,,,,TRUE,,wispy cloud
,,9/25/2017,,TRUE,20170925_150646_1036,20170925_150646_1036,,,,TRUE,,wispy cloud
,,9/25/2017,,TRUE,20170925_155751_0f21,20170925_155751_0f21,,,,,,
2017,September,9/27/2017,TRUE,FALSE,,,,,,,,
2017,September,9/28/2017,,TRUE,20170928_150648_1009,20170928_150648_1009,TRUE,,,TRUE,,
,,9/28/2017,,TRUE,20170928_150649_1009,20170928_150649_1009,TRUE,,,TRUE,,
,,9/28/2017,,TRUE,20170928_150650_1009,20170928_150650_1009,TRUE,,,TRUE,,
,,9/28/2017,,TRUE,20170928_155747_101c,20170928_155747_101c,TRUE,,,TRUE,,
,,9/28/2017,,TRUE,20170928_155748_101c,20170928_155748_101c,TRUE,,,TRUE,,
,,9/28/2017,,TRUE,20170928_155749_101c,20170928_155749_101c,TRUE,,,TRUE,,
,,9/28/2017,,TRUE,20170928_155750_101c,20170928_155750_101c,TRUE,,,TRUE,,
,,9/28/2017,,TRUE,20170928_155826_1043,20170928_155826_1043,,,,,very small part of top of AOI,
,,9/28/2017,,TRUE,20170928_155825_1043,20170928_155825_1043,,,,,,
,,9/28/2017,,TRUE,20170928_155824_1044,20170928_155824_1044,,,,,,
,,9/28/2017,,TRUE,20170928_155823_1044,20170928_155823_1044,,,,,,
,,9/28/2017,,TRUE,20170928_155822_1045,20170928_155822_1045,,,,,,
,,9/28/2017,,TRUE,20170928_150651_1009,20170928_150651_1009,,,,,,
,,9/28/2017,,TRUE,20170928_150652_1009,20170928_150652_1009,,,,,,
2017,September,9/29/2017,TRUE,FALSE,,,,,,,,
2017,September,9/30/2017,TRUE,FALSE,,,,,,,,
2017,October,10/1/2017,TRUE,FALSE,,,,,,,,
2017,October,10/2/2017,,TRUE,20171002_155842_0f32,20171002_155842_0f32,TRUE,,,,,
,,10/2/2017,,TRUE,20171002_155841_0f32,20171002_155841_0f32,TRUE,,,,,
,,10/2/2017,,TRUE,20171002_155840_0f32,20171002_155840_0f32,TRUE,,,,,
,,10/2/2017,,TRUE,20171002_155839_0f32,20171002_155839_0f32,,,,,tiny bit at bottom of AOI,
2017,October,10/3/2017,TRUE,FALSE,,,,,,,,
2017,October,10/4/2017,,TRUE,20171004_155647_103f,20171004_155647_103f,TRUE,,,TRUE,,
,,10/4/2017,,TRUE,20171004_155649_103f,20171004_155649_103f,TRUE,,,TRUE,,
,,10/4/2017,,TRUE,20171004_155648_103f,20171004_155648_103f,TRUE,,,TRUE,,
,,10/4/2017,,TRUE,20171004_155646_103f,20171004_155646_103f,TRUE,,,TRUE,,
,,10/4/2017,,TRUE,20171004_155645_103f,20171004_155645_103f,,get,low,TRUE,teeny bit at bottom of AOI,
,,10/4/2017,,TRUE,20171004_155532_0f4b,20171004_155532_0f4b,,get,low,TRUE,teeny bit on right edge of AOI,
,,10/4/2017,,TRUE,20171004_155531_0f4b,20171004_155531_0f4b,,get,low,TRUE,teeny bit on right edge of AOI,
,,10/4/2017,,TRUE,20171004_155530_0f4b,20171004_155530_0f4b,,get,low,TRUE,teeny bit on right edge of AOI,
,,10/4/2017,,TRUE,20171004_155816_0f4f,20171004_155816_0f4f,,,,,,
,,10/4/2017,,TRUE,20171004_155815_0f4f,20171004_155815_0f4f,,,,,,
,,10/4/2017,,TRUE,20171004_155814_0f4f,20171004_155814_0f4f,,,,,,
,,10/4/2017,,TRUE,20171004_155813_0f4f,20171004_155813_0f4f,,,,,small bit at bottom of AOI,
2017,October,10/5/2017,TRUE,FALSE,,,,,,,,
2017,October,10/6/2017,,TRUE,20171006_155635_104e,20171006_155635_104e,TRUE,,,TRUE,,
,,10/6/2017,,TRUE,20171006_155636_104e,20171006_155636_104e,TRUE,,,TRUE,,
,,10/6/2017,,TRUE,20171006_155634_104e,20171006_155634_104e,TRUE,,,TRUE,,
,,10/6/2017,,TRUE,20171006_155633_104e,20171006_155633_104e,,get,low,TRUE,only lower portion of AOI,
2017,October,10/7/2017,,TRUE,20171007_155705_0f4b,20171007_155705_0f4b,,,,,,visible clouds
,,10/7/2017,,TRUE,20171007_155704_0f4b,20171007_155704_0f4b,,,,,,visible clouds
2017,October,10/10/2017,,TRUE,20171010_150858_103a,20171010_150858_103a,,,,,,visible clouds
